Compound ID,Formula,Molecular Weight,Smile,IC50,unit,note,src table
PV-001802638979,C19H13F5N2O4,428.309,FC(F)(F)C=1C=CC(=CC1)C2N(CCNC2=O)C(=O)C=3C=CC=C4OC(F)(F)OC43,,,,1
PV-001803361903,C28H29N3O3,455.548,CC=1C=CC(=CC1)C(=O)NC(CC(=O)N2CCNC(=O)C2C=3C=CC=CC3C)C=4C=CC=CC4,,,,1
PV-001807574325,C21H19F4N5O2,449.401,CC1COC(CN1C(=O)C=2C=CC(=CC2F)N3N=NN=C3C)C=4C=CC=C(C4)C(F)(F)F,,,,1
PV-001823546049,C20H16F2N2O3,370.349,OC=1N=C2C=CC(F)=CC2=CC1C(=O)N3CCOC(C3)C=4C=CC(F)=CC4,,,,1
PV-001829124078,C20H24N6O4,412.442,CC1(NC(=O)NC1=O)C=2C=CC=C(CNC(=O)CC3=NN=C(N3)C4CCOCC4)C2,,,,1
PV-001838354400,C25H28N2O5,436.500,CC=1C=C(C)C=C(OCC(=O)N2CCN(CC2)C(=O)C3(C)CC=4C=CC=CC4C(=O)O3)C1,,,,1
PV-001845534324,C20H24FN5O4,417.434,OC1CC(N(C1)C(=O)CC=2C=CC=CC2F)C(=O)N3CCCC(C3)C4=NC(=O)NN4,,,,1
PV-001850462868,C23H24F3N3O3,447.450,CC1COC(CN1C(=O)C=2C=CC=3NC(=O)CC(C)NC3C2)C=4C=CC=C(C4)C(F)(F)F,,,,1
PV-001862353302,C22H23N3O6S,457.499,CC1(NC(=O)NC1=O)C=2C=CC=C(C2)C(=O)N3CCOC(C3)C=4C=CC(=CC4)S(=O)(=O)C,,,,1
PV-001870663285,C22H22FN3O4,411.426,OC1CCCN(C1)C(=O)C=2C=CC=CC2NC(=O)C3CC=4C=C(F)C=CC4NC3=O,,,,1
PV-001871635559,C23H28FN5O4,457.497,CC1=CC(=O)NC(=N1)N2CCCC(C2)NC(=O)C3CC(O)CN3C(=O)CC=4C=CC=CC4F,,,,1
PV-001874092433,C23H24F2N4O3,442.458,CC1CCN(CCN1C(=O)C=2C=CC=C(C2)C3(C)NC(=O)NC3=O)C=4C=CC(F)=CC4F,,,,1
PV-001877775442,C18H22N4O6S,422.455,CC1CN(CC(C)O1)S(=O)(=O)C=2C=CC=C(C2)C(=O)N3CC4(C3)NC(=O)NC4=O,,,,1
PV-001919952520,C22H30F3N3O3,441.487,CC(N1CC(C)OC(C1)C=2C=CC=C(C2)C(F)(F)F)C(=O)NC(=O)NC3CCCCC3,,,,1
PV-001933191259,C21H29N3O6S,451.536,CC1(NC(=O)NC1=O)C=2C=CC=C(CNS(=O)(=O)CC3CCC4(CCOCC4)CO3)C2,,,,1
PV-001941213759,C26H38N4O3,454.604,CC1CC(C)CN(C1)C(=O)C=2C=CC=CC2NC(=O)N3CCN(C(=O)C)C4(CCCCC4)C3,,,,1
PV-001941872086,C25H30N4O3,434.530,CC=1C=CC(=CC1NC(=O)N2CCC(CC2)C3NC(=O)C3(C)C)C(=O)NC=4C=CC=CC4,,,,1
PV-001946219830,C23H28N4O4,424.492,COC=1C=CC(=CN1)C=2C=CC(C)=C(NC(=O)N3CCC4(CC3)CC(O)CNC4=O)C2,,,,1
PV-001946482964,C24H34N4O4,442.551,CC1CCC(O)C(C1)C2CCCCN2C(=O)NC=3C=CC=C(C3)N4C(=O)NC(C)(C)C4=O,,,,1
PV-001947855990,C23H27N5O5,453.490,CNC(=O)C=1C=C(OC=2C=CC=C(NC(=O)N3CCC4(CC3)CC(O)CNC4=O)C2)C=CN1,,,,1
PV-001949025022,C25H38FN3O3,447.585,CC1CCC(O)C(C1)C2CCCCN2C(=O)NC=3C=C(F)C=C(C3)N4C[C@H](C)O[C@H](C)C4,,,,1
PV-001955704740,C22H21FN6O4,452.438,CC(NC(=O)NCC=1C=CC=C(C1)C2(C)NC(=O)NC2=O)C3=NC(=NO3)C=4C=CC=C(F)C4,,,,1
PV-001955705611,C21H21FN4O4,412.414,CC1(NC(=O)NC1=O)C=2C=CC=C(CNC(=O)NC3COC=4C=C(F)C=CC4C3)C2,,,,1
PV-001955706149,C21H21N5O4,407.422,CC(NC(=O)NCC=1C=CC=C(C1)C2(C)NC(=O)NC2=O)C3=CC=4C=NC=CC4O3,,,,1
PV-001955706661,C19H21N7O4,411.414,CC(=O)C1=CN(N=N1)C2CN(C2)C(=O)NCC=3C=CC=C(C3)C4(C)NC(=O)NC4=O,,,,1
PV-001959097024,C16H15ClFN5O4,395.772,FC=1C=C(C=CC1Cl)N2CC(CC2=O)NC(=O)N3CC4(C3)NC(=O)NC4=O,,,,1
PV-001963723292,C21H29FN4O3,404.478,FC=1C=CC(NC(=O)CN2CCN(CC2)C(=O)NCCC3CC4CCC3O4)=CC1,,,,1
PV-002002730518,C22H25F3N6O2,462.468,CC(=O)N1CCCN(CC1)C2=NN=C(C3=CC=CN3)N2CCC=4C=CC(OC(F)(F)F)=CC4,,,,1
